number,value,datetime_start,datetime_complete,duration,params_grad_accum,params_learning_rate,params_lora_dropout,params_lora_r,params_warmup_ratio,params_weight_decay,user_attrs_threshold,state
0,0.83443245258031,2026-05-26 15:55:48.873499,2026-05-26 16:00:52.827920,0 days 00:05:03.954421,2,4.3284502212938785e-05,0.04679835610086079,4,0.08661761457749352,0.005808361216819946,0.59,COMPLETE
1,0.8375998447710153,2026-05-26 16:00:52.955958,2026-05-26 16:04:03.449655,0 days 00:03:10.493697,2,0.00044447541666908124,0.09127267288786131,4,0.04319450186421158,0.052475643163223784,0.62,COMPLETE
2,0.8334212454429915,2026-05-26 16:04:03.567426,2026-05-26 16:08:11.764765,0 days 00:04:08.197339,1,3.135775732257744e-05,0.15427033152408348,16,0.0046450412719997725,0.05924145688620425,0.59,COMPLETE
3,0.8381714073955684,2026-05-26 16:08:11.880382,2026-05-26 16:16:13.422902,0 days 00:08:01.542520,4,0.0004093813608598784,0.20526990795364705,4,0.012203823484477884,0.04401524937396013,0.57,COMPLETE
4,0.8352069557275054,2026-05-26 16:16:13.546540,2026-05-26 16:25:54.955403,0 days 00:09:41.408863,1,2.7520696850790512e-05,0.05545633665765811,4,0.07751328233611146,0.09695846277645587,0.6399999999999999,COMPLETE
5,0.8324721646086506,2026-05-26 16:25:55.155491,2026-05-26 16:31:27.951356,0 days 00:05:32.795865,4,0.00036832964384234194,0.1166031869068446,32,0.08287375091519295,0.02713490317738959,0.59,COMPLETE
6,0.8089319869836302,2026-05-26 16:31:28.155380,2026-05-26 16:35:17.008714,0 days 00:03:48.853334,4,1.7355056469855084e-05,0.059614704460251716,16,0.08154614284548342,0.00055221171236024,,PRUNED
7,0.8112382947283667,2026-05-26 16:35:17.202272,2026-05-26 16:37:33.933471,0 days 00:02:16.731199,2,1.3359790328445548e-05,0.09926940745579475,16,0.031098232171566223,0.006355835028602364,,PRUNED
8,0.8332690918321519,2026-05-26 16:37:34.052631,2026-05-26 16:41:37.299319,0 days 00:04:03.246688,1,0.0003216235469207422,0.16838315927084888,32,0.04937955963643908,0.0770967179954561,0.62,COMPLETE
9,0.8090475656503988,2026-05-26 16:41:37.416028,2026-05-26 16:43:36.360867,0 days 00:01:58.944839,1,1.5251209898002918e-05,0.2722699421778279,8,0.04103829230356298,0.024929222914887497,,PRUNED
